"TotalAlunos","Aprovados","Reprovados","nomeEscola","codEscola","EEX","adimplenciaUEX","bairro","valorTotalPrevisto","cescolrpae","modens","compens","anoCenso"
"199","164","27","ESCOLA MUNICIPAL SANTO ANTONIO DO CACOTE","26123673","PREF MUN DE RECIFE","Adimplente","AREIAS","5020","5","0","4","2018"
"331","272","27","ESCOLA MUNICIPAL WALDEMAR VALENTE","26124076","PREF MUN DE RECIFE","Bloqueio CODDE","JARDIM SAO PAULO","7540","5","0","4","2018"
"317","269","33","ESCOLA MUNICIPAL ABILIO GOMES","26124092","PREF MUN DE RECIFE","Adimplente","BOA VIAGEM","8260","6","0","5","2018"
"205","165","3","ESCOLA MUNICIPAL LAGOA ENCANTADA","26124114","PREF MUN DE RECIFE","Adimplente","COHAB","4960","6","0","4","2018"
"344","312","9","ESCOLA MUNICIPAL CENTRO DE EDUC INFAN 14 BIS","26124173","PREF MUN DE RECIFE","Bloqueio CODDE","BOA VIAGEM","6700","6","0","3","2018"
"337","272","42","ESCOLA MUNICIPAL BEATO EUGENIO MAZENOD","26124467","PREF MUN DE RECIFE","Bloqueio CODDE","IMBIRIBEIRA","7280","6","1","0","2018"
"204","183","16","ESCOLA MUNICIPAL CAPELA SANTO ANTONIO","26124483","PREF MUN DE RECIFE","Adimplente","IMBIRIBEIRA","5440","6","1","0","2018"
"795","583","48","ESCOLA MUNICIPAL CICERO FRANKLIN CORDEIRO","26124513","PREF MUN DE RECIFE","Bloqueio CODDE","COHAB","18480","6","0","5","2018"
"797","681","66","ESCOLA MUNICIPAL MARIA DE SAMPAIO LUCENA","26124556","PREF MUN DE RECIFE","Bloqueio CODDE","COHAB","20520","6","1","5","2018"
"266","232","11","ESCOLA MUNICIPAL FUTURO FELIZ","26124610","PREF MUN DE RECIFE","Adimplente","IBURA","6280","6","0","4","2018"
"205","165","3","ESCOLA DE REFERENCIA EM ENSINO MEDIO LAGOA ENCANTADA","26124653","SECRETARIA DE EDUCACAO E ESPORTES","Adimplente","COHAB","24600","6","0","4","2018"
"601","503","72","ESCOLA MUNICIPAL PROFESSOR MANOEL TORRES","26124661","PREF MUN DE RECIFE","Adimplente","IMBIRIBEIRA","14360","6","0","4","2018"
"321","271","20","ESCOLA MUNICIPAL MARIA ADELAIDE DE BARROS","26124688","PREF MUN DE RECIFE","Adimplente","COHAB","6480","6","0","4","2018"
"251","200","24","ESCOLA MUNICIPAL MARGARIDA SERPA COSSART","26124700","PREF MUN DE RECIFE","Bloqueio CODDE","COHAB","6320","6","0","4","2018"
"658","557","60","ESCOLA MUNICIPAL PROFESSOR SIMOES BARBOSA","26124815","PREF MUN DE RECIFE","Adimplente","IBURA","15140","6","1","0","2018"
"201","187","6","ESCOLA MUNICIPAL ESCRITOR JOSUE DE CASTRO","26124955","PREF MUN DE RECIFE","Bloqueio CODDE","BRASILIA TEIMOSA","5380","6","1","0","2018"
"213","188","12","ESCOLA MUNICIPAL JARDIM MAURICEIA","26125480","PREF MUN DE RECIFE","Adimplente","IMBIRIBEIRA","5720","6","1","0","2018"
"670","534","98","ESCOLA MUNICIPAL OSWALDO LIMA FILHO","26125510","PREF MUN DE RECIFE","Bloqueio CODDE","PINA","16900","6","1","1","2018"
"357","328","5","ESCOLA MUNICIPAL PAIS E FILHOS","26125528","PREF MUN DE RECIFE","Bloqueio CODDE","IMBIRIBEIRA","7800","6","0","4","2018"
"485","401","23","ESCOLA MUNICIPAL POETA PAULO BANDEIRA DA CRUZ","26125544","PREF MUN DE RECIFE","Adimplente","COHAB","8800","6","0","4","2018"
"269","218","17","ESCOLA MUNICIPAL PROFESSOR ADAUTO PONTES","26125552","PREF MUN DE RECIFE","Adimplente","JORDAO","6180","6","0","4","2018"
"162","142","15","ESCOLA MUNICIPAL PROF JOSE LOURENCO DE LIMA","26125560","PREF MUN DE RECIFE","Bloqueio CODDE","IBURA","8200","6","1","2","2018"
"306","252","36","ESCOLA MUNICIPAL SAO FRANCISCO DE ASSIS","26125579","PREF MUN DE RECIFE","Adimplente","BOA VIAGEM","7040","6","0","5","2018"
"455","370","43","ESCOLA MUNICIPAL SOCIOLOGO GILBERTO FREYRE","26125692","PREF MUN DE RECIFE","Bloqueio CODDE","DOIS IRMAOS","13900","3","1","0","2018"
"338","174","141","ESCOLA MUNICIPAL MUNDO ESPERANCA","26125706","PREF MUN DE RECIFE","Adimplente","SAN MARTIN","6500","4","0","0","2018"
"335","306","16","ESCOLA MUNICIPAL VIRGEM PODEROSA","26125811","PREF MUN DE RECIFE","Adimplente","JAQUEIRA","9040","3","1","0","2018"
"293","250","26","ESCOLA MUNICIPAL ALTO JARDIM PROGRESSO","26125854","PREF MUN DE RECIFE","Adimplente","NOVA DESCOBERTA","8860","3","1","0","2018"
"319","274","19","ESCOLA MUNICIPAL ARQUITETO ALEXANDRE MUNIZ DE OLIVEIRA","26125994","PREF MUN DE RECIFE","Adimplente","CORREGO DO JENIPAPO","6840","3","1","5","2018"
"646","506","88","ESCOLA MUNICIPAL OCTAVIO DE MEIRA LINS","26126087","PREF MUN DE RECIFE","Bloqueio CODDE","VASCO DA GAMA","13680","3","0","4","2018"
"842","661","119","ESCOLA MUNICIPAL PROFESSORA ALMERINDA UMBELINO DE BARROS","26126117","PREF MUN DE RECIFE","Bloqueio CODDE","VASCO DA GAMA","20600","3","1","0","2018"
"255","229","12","ESCOLA MUNICIPAL MARGARIDA DE SIQUEIRA PESSOA","26126281","PREF MUN DE RECIFE","Bloqueio CODDE","ALTO JOSE BONIFACIO","7000","3","0","4","2018"
"350","312","21","ESCOLA MUNICIPAL CORREGO DA BICA","26126362","PREF MUN DE RECIFE","Bloqueio CODDE","PASSARINHO","10080","3","1","0","2018"
"568","495","44","ESCOLA MUNICIPAL ALTO DA GUABIRABA","26126370","PREF MUN DE RECIFE","Adimplente","BREJO DA GUABIRABA","5060","3","0","4","2018"
"199","157","25","ESCOLA MUNICIPAL DOUTOR CAETE","26126389","PREF MUN DE RECIFE","Bloqueio CODDE","NOVA DESCOBERTA","6720","3","0","4","2018"
"374","325","26","ESCOLA MUNICIPAL PRESBITERO JOSE BEZERRA","26126419","PREF MUN DE RECIFE","Adimplente","MACAXEIRA","11880","3","0","4","2018"
"427","364","43","ESCOLA MUNICIPAL PASTOR PAULO LEIVAS MACALAO","26126427","PREF MUN DE RECIFE","Adimplente","LINHA DO TIRO","12500","2","0","4","2018"
"595","502","58","ESCOLA MUNICIPAL POETA JOAQUIM CARDOSO","26126494","PREF MUN DE RECIFE","Bloqueio CODDE","MACAXEIRA","14960","3","1","5","2018"
"460","395","45","ESCOLA MUNICIPAL PROFESSOR ADERBAL GALVAO","26126516","PREF MUN DE RECIFE","Adimplente","VASCO DA GAMA","11940","3","1","2","2018"
"340","257","33","ESCOLA MUNICIPAL PROFESSOR NILO PEREIRA","26126524","PREF MUN DE RECIFE","Bloqueio CODDE","CASA AMARELA","12040","3","1","5","2018"
"341","299","27","ESCOLA MUNICIPAL SANTA MARIA GORETTI","26126583","PREF MUN DE RECIFE","Bloqueio CODDE","VASCO DA GAMA","8180","3","0","5","2018"
"568","512","33","ESCOLA ROTARY DE NOVA DESCOBERTA","26126621","SECRETARIA DE EDUCACAO E ESPORTES","Adimplente","PASSARINHO","29160","3","0","5","2018"
"639","526","45","ESCOLA MUNICIPAL SAO CRISTOVAO","26126630","PREF MUN DE RECIFE","Adimplente","BREJO DA GUABIRABA","14520","3","1","5","2018"
"226","206","14","ESCOLA MUNICIPAL MAURICIO DE NASSAU","26126672","PREF MUN DE RECIFE","Adimplente","CASA AMARELA","6160","3","1","0","2018"
"202","191","6","ESCOLA MUNICIPAL CORREGO DA AREIA","26126680","PREF MUN DE RECIFE","Bloqueio CODDE","NOVA DESCOBERTA","4760","3","1","0","2018"
"173","163","5","ESCOLA MUNICIPAL JOSEFINA MARINHO","26126770","PREF MUN DE RECIFE","Adimplente","ALTO JOSE BONIFACIO","5520","2","0","4","2018"
"452","417","25","ESCOLA MUNICIPAL PROFESSOR MAURO MOTA","26126788","PREF MUN DE RECIFE","Bloqueio CODDE","NOVA DESCOBERTA","10300","3","0","4","2018"
"272","174","79","ESCOLA MUNICIPAL DOM JOSE LAMARTINE SOARES","26126818","PREF MUN DE RECIFE","Adimplente","VASCO DA GAMA","9520","3","1","1","2018"
"259","212","34","ESCOLA MUNICIPAL MANOEL ANTONIO DE FREITAS","26126826","PREF MUN DE RECIFE","Adimplente","ALTO SANTA TEREZINHA","6420","2","0","4","2018"
"437","257","161","ESCOLA MUNICIPAL BOA ESPERANCA","26126869","PREF MUN DE RECIFE","Bloqueio CODDE","VASCO DA GAMA","5960","3","0","4","2018"
"636","544","71","ESCOLA MUNICIPAL CREUSA DE FREITAS CAVALCANTI","26127008","PREF MUN DE RECIFE","Adimplente","TORROES","15700","4","0","4","2018"
"279","249","18","ESCOLA MUNICIPAL CELIA ARRAES","26127024","PREF MUN DE RECIFE","Adimplente","VARZEA","6980","4","0","5","2018"
"194","178","4","ESCOLA MUNICIPAL DOS TORROES","26127083","PREF MUN DE RECIFE","Adimplente","TORROES","4680","4","0","4","2018"
"669","536","66","ESCOLA MUNICIPAL ARRAIAL NOVO DO BOM JESUS","26127369","PREF MUN DE RECIFE","Adimplente","TORROES","15080","4","1","0","2018"
"643","498","108","ESCOLA MUNICIPAL ENGENHO DO MEIO","26127377","PREF MUN DE RECIFE","Bloqueio CODDE","ENGENHO DO MEIO","20000","4","1","0","2018"
"628","523","50","ESCOLA MUNICIPAL PAPA JOAO XXIII","26127458","PREF MUN DE RECIFE","Adimplente","IPUTINGA","5760","4","1","1","2018"
"422","286","91","ESCOLA MUNICIPAL DIVINO ESPIRITO SANTO","26127520","PREF MUN DE RECIFE","Bloqueio CODDE","VARZEA","9500","4","1","2","2018"
"217","202","4","ESCOLA MUNICIPAL DOUTOR SAMUEL GONCALVES","26127547","PREF MUN DE RECIFE","Adimplente","PRADO","5280","4","0","5","2018"
"672","535","77","ESCOLA EDUCADOR PAULO FREIRE","26127636","SECRETARIA DE EDUCACAO E ESPORTES","Adimplente","IPSEP","12100","6","0","5","2018"
"413","328","68","ESCOLA MUNICIPAL DOUTOR EBENEZER GUEIROS","26127644","PREF MUN DE RECIFE","Adimplente","IPUTINGA","11980","4","0","4","2018"
"268","223","25","ESCOLA MUNICIPAL JOAO PESSOA GUERRA","26127784","PREF MUN DE RECIFE","Adimplente","VARZEA","7020","4","0","4","2018"
"309","276","18","ESCOLA MUNICIPAL SAO DOMINGOS","26127792","PREF MUN DE RECIFE","Adimplente","IPUTINGA","8120","4","1","0","2018"
"189","158","23","ESCOLA MUNICIPAL HENFIL","26127873","PREF MUN DE RECIFE","Adimplente","VARZEA","7180","4","1","0","2018"
"169","154","6","ESCOLA DE REFERENCIA EM ENSINO MEDIO DE BEBERIBE","26128101","SECRETARIA DE EDUCACAO E ESPORTES","Adimplente","BEBERIBE","7900","2","1","0","2018"
"323","301","2","ESCOLA MUNICIPAL ALDA ROMEU","26128110","PREF MUN DE RECIFE","Adimplente","AGUA FRIA","7740","2","0","4","2018"
"336","295","20","ESCOLA MUNICIPAL DA MANGABEIRA","26128233","PREF MUN DE RECIFE","Bloqueio CODDE","MANGABEIRA","9460","3","0","4","2018"
"222","200","17","ESCOLA MUNICIPAL LUIZ LUA GONZAGA","26128268","PREF MUN DE RECIFE","Adimplente","BOMBA DO HEMETERIO","6340","2","1","0","2018"
"138","119","15","ESCOLA MUNICIPAL NOVA AURORA","26128314","PREF MUN DE RECIFE","Adimplente","BOMBA DO HEMETERIO","4420","2","0","4","2018"
"239","201","33","ESCOLA MUNICIPAL NOVO HORIZONTE","26128322","PREF MUN DE RECIFE","Adimplente","AGUA FRIA","5640","2","1","0","2018"
"1017","824","134","ESCOLA MUNICIPAL PAULO VI","26128390","PREF MUN DE RECIFE","Bloqueio CODDE","LINHA DO TIRO","24180","2","1","3","2018"
"498","478","5","ESCOLA ROTARY DO ALTO DO PASCOAL","26128527","SECRETARIA DE EDUCACAO E ESPORTES","Adimplente","AGUA FRIA","21280","2","0","4","2018"
"421","329","26","ESCOLA MUNICIPAL ANTONIO HERACLIO DO REGO","26128640","PREF MUN DE RECIFE","Adimplente","FUNDAO","11960","2","1","5","2018"
"94","81","9","ESCOLA MUNICIPAL ANTONIO LUIZ","26128659","PREF MUN DE RECIFE","Bloqueio CODDE","FUNDAO","4240","2","1","2","2018"
"351","294","41","ESCOLA MUNICIPAL MONSENHOR VIANA","26128705","PREF MUN DE RECIFE","Adimplente","BEBERIBE","8240","2","1","0","2018"
"420","333","68","ESCOLA MUNICIPAL SAO JOAO BATISTA","26128748","PREF MUN DE RECIFE","Adimplente","LINHA DO TIRO","11120","2","1","0","2018"
"257","238","12","ESCOLA MUNICIPAL ANA MAURICIA WANDERLEY","26128764","PREF MUN DE RECIFE","Adimplente","AGUA FRIA","5900","2","1","0","2018"
"184","159","21","ESCOLA MUNICIPAL ANTONIO TIBURCIO","26128772","PREF MUN DE RECIFE","Bloqueio CODDE","ALTO SANTA TEREZINHA","4780","2","1","0","2018"
"232","216","3","ESCOLA MUNICIPAL COMPOSITOR LEVINO FERREIRA","26128780","PREF MUN DE RECIFE","Adimplente","BOMBA DO HEMETERIO","5920","2","0","4","2018"
"145","118","10","ESCOLA MUNICIPAL DEUS E AMOR","26128888","PREF MUN DE RECIFE","Bloqueio CODDE","AGUA FRIA","5840","2","1","1","2018"
"116","105","5","ESCOLA MUNICIPAL ANITA PAES BARRETO","26128926","PREF MUN DE RECIFE","Bloqueio CODDE","FUNDAO","3440","2","0","5","2018"
"418","314","59","ESCOLA MUNICIPAL OLINDINA MONTEIRO DE OLIVEIRA FRANCA","26128934","PREF MUN DE RECIFE","Bloqueio CODDE","DOIS UNIDOS","9300","2","1","2","2018"
"227","185","27","ESCOLA MUNICIPAL IRMA TEREZINHA BATISTA - PROJ NOVO VIVER","26128950","PREF MUN DE RECIFE","Bloqueio CODDE","CAMPINA DO BARRETO","8280","2","1","1","2018"
"286","250","7","ESCOLA MUNICIPAL PINTOR LULA CARDOSO AYRES","26132249","PREF MUN DE RECIFE","Adimplente","JORDAO","6500","6","0","5","2018"
"141","123","14","ESCOLA MUNICIPAL DEPUTADO FERNANDO SAMPAIO","26132267","PREF MUN DE RECIFE","Bloqueio CODDE","NOVA DESCOBERTA","7420","3","1","2","2018"
"165","124","32","ESCOLA MUNICIPAL JORDAO BAIXO","26132635","PREF MUN DE RECIFE","Bloqueio CODDE","JORDAO","6720","6","0","4","2018"
"461","391","42","ESCOLA MUNICIPAL NADIR COLACO","26133389","PREF MUN DE RECIFE","Bloqueio CODDE","MACAXEIRA","9800","3","1","5","2018"
"568","512","33","ESCOLA MUNICIPAL NOVA DESCOBERTA","26133622","PREF MUN DE RECIFE","Adimplente","PASSARINHO","14860","3","0","5","2018"
"591","528","30","ESCOLA MUNICIPAL CRISTIANO CORDEIRO","26133837","PREF MUN DE RECIFE","Adimplente","COHAB","12440","6","0","4","2018"
"688","518","31","ESCOLA MUNICIPAL KARLA PATRICIA","26134002","PREF MUN DE RECIFE","Bloqueio CODDE","BOA VIAGEM","14620","6","0","4","2018"
"268","240","16","ESCOLA MUNICIPAL INES SOARES DE LIMA","26134010","PREF MUN DE RECIFE","Adimplente","IMBIRIBEIRA","6800","6","0","4","2018"
"258","225","1","ESCOLA MUNICIPAL NOSSA SENHORA DA PENHA","26134049","PREF MUN DE RECIFE","Bloqueio CODDE","BOA VIAGEM","6480","6","0","4","2018"
"119","101","12","ESCOLA MUNICIPAL MANOEL ROLIM","26134057","PREF MUN DE RECIFE","Bloqueio CODDE","TEJIPIO","6140","5","1","0","2018"
"343","308","21","ESCOLA MUNICIPAL SEVERINA BERNADETE TEIXEIRA","26134067","PREF MUN DE RECIFE","Bloqueio CODDE","COHAB","8320","6","0","4","2018"
"493","394","68","ESCOLA MUNICIPAL SANTO AMARO","26134379","PREF MUN DE RECIFE","Adimplente","SANTO AMARO","9260","1","0","4","2018"
"176","161","7","ESCOLA MUNICIPAL SITIO DO CEU","26136269","PREF MUN DE RECIFE","Bloqueio CODDE","SANTO AMARO","4200","1","0","5","2018"
"395","366","17","ESCOLA MUNICIPAL ALTO DO MARACANA","26136300","PREF MUN DE RECIFE","Bloqueio CODDE","DOIS UNIDOS","11120","2","0","5","2018"
"146","116","20","ESCOLA MUNICIPAL RENATO ACCIOLY CARNEIRO CAMPOS","26136335","PREF MUN DE RECIFE","Adimplente","BREJO DE BEBERIBE","4700","3","1","0","2018"
"834","637","102","ESCOLA MUNICIPAL PROFESSOR FLORESTAN FERNANDES","26139090","PREF MUN DE RECIFE","Bloqueio CODDE","IBURA","20620","6","1","5","2018"
"615","557","9","ESCOLA MUNICIPAL ALTO SANTA TEREZINHA","26139723","PREF MUN DE RECIFE","Adimplente","BEBERIBE","14780","2","0","4","2018"
"153","133","14","ESCOLA MUNICIPAL HISTORIADOR FLAVIO GUERRA","26145227","PREF MUN DE RECIFE","Bloqueio CODDE","PASSARINHO","8100","3","1","2","2018"
"156","117","26","ESCOLA MUNICIPAL NOSSA SENHORA DO PILAR","26147300","PREF MUN DE RECIFE","Adimplente","RECIFE","5000","1","0","3","2018"
"672","535","77","ESCOLA MUNICIPAL EDUCADOR PAULO FREIRE","26148161","PREF MUN DE RECIFE","Adimplente","IPSEP","16980","6","0","5","2018"
"155","128","18","ESCOLA MUNICIPAL ALTO DO REFUGIO - IVAN NEVES","26149370","PREF MUN DE RECIFE","Bloqueio CODDE","NOVA DESCOBERTA","6220","3","1","2","2018"
